time,open,close,high,low,volume
2026-02-20 06:00:00,36.6,36.65,36.65,36.6,12790.14630136
2026-02-20 07:00:00,36.67,36.67,36.67,36.67,182.23054308
2026-02-20 08:00:00,36.67,36.67,36.67,36.67,14180.529042815166
2026-02-20 09:00:00,36.76,36.74,36.76,36.74,5468.04797382
2026-02-20 10:00:00,36.74,36.32,36.75,36.32,96673.71883568
2026-02-20 11:00:00,36.29,36.06,36.29,36.0,95484.91569569
2026-02-20 12:00:00,36.09,36.4,36.51,36.09,227466.03093719
2026-02-20 13:00:00,36.26,36.09,36.31,35.68,203918.96864715
2026-02-20 14:00:00,36.08,36.05,36.13,36.03,35181.49123592
2026-02-20 15:00:00,36.15,36.13,36.26,36.03,105179.75528801
2026-02-20 16:00:00,36.24,36.41,37.13,36.24,325098.60766836
2026-02-20 17:00:00,36.55,37.42,37.45,36.55,18652.93122191
2026-02-20 18:00:00,37.33,37.24,37.45,37.18,54890.45598461
2026-02-20 19:00:00,37.02,37.01,37.02,37.01,750.5164
2026-02-20 20:00:00,37.18,37.32,37.34,37.18,17415.4085294
2026-02-20 21:00:00,37.45,37.49,37.57,37.45,29093.69972312
2026-02-20 22:00:00,37.2,37.2,37.2,37.2,4325.55052804
2026-02-20 23:00:00,37.11,37.12,37.12,37.11,2688.17204302
2026-02-21 00:00:00,37.21,37.28,37.28,37.21,9788.4210561
2026-02-21 01:00:00,37.37,37.84,38.36,37.37,470713.0711164511
2026-02-21 02:00:00,37.6,37.52,37.66,37.23,85872.34557383
2026-02-21 03:00:00,37.37,37.17,37.38,37.16,16897.35094723
2026-02-21 04:00:00,37.18,38.18,38.53,37.16,236895.46341885
2026-02-21 05:00:00,38.02,37.92,38.03,37.86,17709.228811552846
2026-02-21 06:00:00,38.03,37.94,38.16,37.94,4715.05110992
2026-02-21 07:00:00,38.02,38.81,38.97,38.02,286387.38992628414
2026-02-21 08:00:00,38.85,38.81,39.05,38.54,82955.21417027361
2026-02-21 09:00:00,38.72,39.02,39.16,38.72,19981.0497394
2026-02-21 10:00:00,38.59,38.24,38.7,38.24,14111.40808792
2026-02-21 11:00:00,38.22,38.18,38.22,38.17,22879.499646907545
